case_id,storm_id,init_time,forecast_hours,output_interval_hours,name,basin
2023138N05151-CE06-L096,2023138N05151,2023-05-28T18:00:00Z,96,6,MAWAR,WP
2023138N05151-CE06-L120,2023138N05151,2023-05-27T18:00:00Z,120,6,MAWAR,WP
2023156N12135-CE01-L024,2023156N12135,2023-06-10T06:00:00Z,24,6,GUCHOL,WP
2023156N12135-CE01-L048,2023156N12135,2023-06-09T06:00:00Z,48,6,GUCHOL,WP
2023156N12135-CE01-L072,2023156N12135,2023-06-08T06:00:00Z,72,6,GUCHOL,WP
2023156N12135-CE01-L096,2023156N12135,2023-06-07T06:00:00Z,96,6,GUCHOL,WP
2023156N12135-CE01-L120,2023156N12135,2023-06-06T06:00:00Z,120,6,GUCHOL,WP
2023180N13264-CE01-L024,2023180N13264,2023-06-30T06:00:00Z,24,6,BEATRIZ,EP
2023180N13264-CE01-L048,2023180N13264,2023-06-29T06:00:00Z,48,6,BEATRIZ,EP
2023180N13264-CE01-L072,2023180N13264,2023-06-28T06:00:00Z,72,6,BEATRIZ,EP
2023180N13264-CE01-L096,2023180N13264,2023-06-27T06:00:00Z,96,6,BEATRIZ,EP
2023180N13264-CE01-L120,2023180N13264,2023-06-26T06:00:00Z,120,6,BEATRIZ,EP
2023179N15256-CE01-L024,2023179N15256,2023-06-30T18:00:00Z,24,6,ADRIAN,EP
2023179N15256-CE01-L048,2023179N15256,2023-06-29T18:00:00Z,48,6,ADRIAN,EP
2023179N15256-CE01-L072,2023179N15256,2023-06-28T18:00:00Z,72,6,ADRIAN,EP
2023179N15256-CE01-L096,2023179N15256,2023-06-27T18:00:00Z,96,6,ADRIAN,EP
2023179N15256-CE01-L120,2023179N15256,2023-06-26T18:00:00Z,120,6,ADRIAN,EP
2023194N16123-CE01-L024,2023194N16123,2023-07-16T12:00:00Z,30,6,TALIM,WP
2023194N16123-CE01-L048,2023194N16123,2023-07-15T12:00:00Z,54,6,TALIM,WP
2023194N16123-CE01-L072,2023194N16123,2023-07-14T12:00:00Z,78,6,TALIM,WP
2023194N16123-CE01-L096,2023194N16123,2023-07-13T12:00:00Z,102,6,TALIM,WP
2023194N16123-CE01-L120,2023194N16123,2023-07-12T12:00:00Z,126,6,TALIM,WP
